id_factura,importe_de_venta,importe_coste,tipo,horas_totales,horas_facturadas,fecha,contador_de_serie_de_factura,nº_documento,cliente,forma_de_pago,base_total,descuento,iva_total,total_factura,fecha_cliente
32204.0,3290.0,0.0,Venta servidores,0,0,2021-05-17,44.0,709.0,id_488,1,4286.1,0.0,900.08,5186.18,2016-04-08 13:00:00
32204.0,106.0,0.0,Venta accesorios,0,0,2021-05-17,44.0,709.0,id_488,1,4286.1,0.0,900.08,5186.18,2016-04-08 13:00:00
32212.0,2075.88,0.0,HW/SW Seguridad,0,0,2021-05-18,44.0,717.0,id_1110,15,6168.75,0.0,1295.44,7464.19,2021-01-11 10:03:00
32212.0,830.48,0.0,Venta accesorios,0,0,2021-05-18,44.0,717.0,id_1110,15,6168.75,0.0,1295.44,7464.19,2021-01-11 10:03:00
32212.0,1950.54,0.0,Venta de equipos,0,0,2021-05-18,44.0,717.0,id_1110,15,6168.75,0.0,1295.44,7464.19,2021-01-11 10:03:00
32212.0,608.0,0.0,Licencia MS,0,0,2021-05-18,44.0,717.0,id_1110,15,6168.75,0.0,1295.44,7464.19,2021-01-11 10:03:00
32228.0,93.0,0.0,Mantenimiento SW,0,0,2021-06-01,44.0,733.0,id_1093,0,93.0,0.0,19.53,112.53,2020-02-28 12:07:00
32240.0,92.42,0.0,SMI,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32240.0,18.72,0.0,RMM,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32240.0,12.99,0.0,Licencia MS,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32240.0,10.92,0.0,Licencia MS,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32240.0,9.75,0.0,Mantenimiento SW,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32240.0,51.66,0.0,RMM,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32240.0,15.16,0.0,HW/SW Seguridad,0,0,2021-06-01,44.0,745.0,id_162,1,251.22,0.0,52.76,303.98,2016-04-08 13:00:00
32250.0,2640.0,0.0,Mantenimiento SW,0,0,2021-06-01,44.0,755.0,id_916,1,2640.0,0.0,554.4,3194.4,2016-04-08 13:01:00
32251.0,641.55,0.0,nesicCLOUD,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,115.2,0.0,Copia de seguridad,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,600.0,0.0,Consultoria,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,1050.0,0.0,Licencia MS,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,913.11,0.0,SMI,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,154.8,0.0,RMM,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32251.0,331.8,0.0,RMM,0,0,2021-06-01,44.0,756.0,id_1110,17,4043.76,0.0,849.19,4892.95,2021-01-11 10:03:00
32254.0,127.53,0.0,SMI,0,0,2021-06-01,44.0,759.0,id_1055,1,302.52,0.0,63.53,366.05,2018-04-11 19:09:00
32254.0,47.63,0.0,Licencia MS,0,0,2021-06-01,44.0,759.0,id_1055,1,302.52,0.0,63.53,366.05,2018-04-11 19:09:00
32254.0,45.25,0.0,Copia de seguridad,0,0,2021-06-01,44.0,759.0,id_1055,1,302.52,0.0,63.53,366.05,2018-04-11 19:09:00
32254.0,60.27,0.0,RMM,0,0,2021-06-01,44.0,759.0,id_1055,1,302.52,0.0,63.53,366.05,2018-04-11 19:09:00
32254.0,21.84,0.0,RMM,0,0,2021-06-01,44.0,759.0,id_1055,1,302.52,0.0,63.53,366.05,2018-04-11 19:09:00
32258.0,215.33,0.0,SMI,0,0,2021-06-01,44.0,763.0,id_1089,1,290.02,0.0,60.9,350.92,2020-01-14 16:30:00
32258.0,18.72,0.0,RMM,0,0,2021-06-01,44.0,763.0,id_1089,1,290.02,0.0,60.9,350.92,2020-01-14 16:30:00
32258.0,55.97,0.0,RMM,0,0,2021-06-01,44.0,763.0,id_1089,1,290.02,0.0,60.9,350.92,2020-01-14 16:30:00
32259.0,123.6,0.0,Mantenimiento SW,0,0,2021-06-01,44.0,764.0,id_913,1,155.07,0.0,32.56,187.63,2016-04-08 13:01:00
32259.0,28.29,0.0,Mantenimiento SW,0,0,2021-06-01,44.0,764.0,id_913,1,155.07,0.0,32.56,187.63,2016-04-08 13:01:00
32259.0,3.18,0.0,RMM,0,0,2021-06-01,44.0,764.0,id_913,1,155.07,0.0,32.56,187.63,2016-04-08 13:01:00
32266.0,110.0,0.0,Mantenimiento SW,0,0,2021-06-01,44.0,771.0,id_1086,2,110.0,0.0,23.1,133.1,2019-12-11 10:20:00
32271.0,500.0,0.0,Mantenimiento SW,0,0,2021-06-01,44.0,776.0,id_1086,2,500.0,0.0,105.0,605.0,2019-12-11 10:20:00
32272.0,16.0,0.0,HW/SW Seguridad,0,0,2021-06-01,44.0,777.0,id_1089,2,16.0,0.0,3.36,19.36,2020-01-14 16:30:00
32274.0,110.81,0.0,SMI,0,0,2021-06-01,44.0,779.0,id_916,1,319.23,0.0,67.04,386.27,2016-04-08 13:01:00
32274.0,28.08,0.0,RMM,0,0,2021-06-01,44.0,779.0,id_916,1,319.23,0.0,67.04,386.27,2016-04-08 13:01:00
32274.0,77.49,0.0,RMM,0,0,2021-06-01,44.0,779.0,id_916,1,319.23,0.0,67.04,386.27,2016-04-08 13:01:00
32274.0,93.14,0.0,nesicCLOUD,0,0,2021-06-01,44.0,779.0,id_916,1,319.23,0.0,67.04,386.27,2016-04-08 13:01:00
32274.0,9.71,0.0,Copia de seguridad,0,0,2021-06-01,44.0,779.0,id_916,1,319.23,0.0,67.04,386.27,2016-04-08 13:01:00
32277.0,785.12,0.0,Consultoria,0,0,2021-06-01,44.0,782.0,id_968,8,785.12,0.0,164.88,950.0,2016-04-08 13:01:00
32282.0,24.96,0.0,RMM,0,0,2021-06-01,44.0,787.0,id_267,1,214.3,0.0,45.0,259.3,2016-04-08 13:00:00
32282.0,68.88,0.0,RMM,0,0,2021-06-01,44.0,787.0,id_267,1,214.3,0.0,45.0,259.3,2016-04-08 13:00:00
32282.0,120.46,0.0,SMI,0,0,2021-06-01,44.0,787.0,id_267,1,214.3,0.0,45.0,259.3,2016-04-08 13:00:00
32288.0,26.52,0.0,RMM,0,0,2021-06-01,44.0,793.0,id_1057,1,201.64,0.0,42.34,243.98,2018-05-08 18:14:00
32288.0,32.4,0.0,RMM,0,0,2021-06-01,44.0,793.0,id_1057,1,201.64,0.0,42.34,243.98,2018-05-08 18:14:00
32288.0,45.34,0.0,SMI,0,0,2021-06-01,44.0,793.0,id_1057,1,201.64,0.0,42.34,243.98,2018-05-08 18:14:00
32288.0,97.38,0.0,Licencia MS,0,0,2021-06-01,44.0,793.0,id_1057,1,201.64,0.0,42.34,243.98,2018-05-08 18:14:00
32289.0,73.96,0.0,Copia de seguridad,0,0,2021-06-01,44.0,794.0,id_1057,2,73.96,0.0,15.53,89.49,2018-05-08 18:14:00
32290.0,21.84,0.0,RMM,0,0,2021-06-01,44.0,795.0,id_473,1,145.31,0.0,30.52,175.83,2016-04-08 13:00:00
32290.0,60.27,0.0,RMM,0,0,2021-06-01,44.0,795.0,id_473,1,145.31,0.0,30.52,175.83,2016-04-08 13:00:00
32290.0,32.36,0.0,SMI,0,0,2021-06-01,44.0,795.0,id_473,1,145.31,0.0,30.52,175.83,2016-04-08 13:00:00
32290.0,30.84,0.0,Copia de seguridad,0,0,2021-06-01,44.0,795.0,id_473,1,145.31,0.0,30.52,175.83,2016-04-08 13:00:00
32298.0,203.77,0.0,Copia de seguridad,0,0,2021-06-01,44.0,803.0,id_803,1,203.77,0.0,42.79,246.56,2016-04-08 13:01:00
32330.0,84.9,0.0,Copia de seguridad,0,0,2021-06-01,44.0,835.0,id_488,1,84.9,0.0,17.83,102.73,2016-04-08 13:00:00
32331.0,105.92,0.0,SMI,0,0,2021-06-01,44.0,836.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32331.0,64.58,0.0,RMM,0,0,2021-06-01,44.0,836.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32331.0,23.4,0.0,RMM,0,0,2021-06-01,44.0,836.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32331.0,120.12,0.0,Licencia MS,0,0,2021-06-01,44.0,836.0,id_488,1,314.02,0.0,65.94,379.96,2016-04-08 13:00:00
32332.0,20.28,0.0,RMM,0,0,2021-06-01,44.0,837.0,id_803,1,200.59,0.0,42.12,242.71,2016-04-08 13:01:00
32332.0,55.97,0.0,RMM,0,0,2021-06-01,44.0,837.0,id_803,1,200.59,0.0,42.12,242.71,2016-04-08 13:01:00
32332.0,124.34,0.0,SMI,0,0,2021-06-01,44.0,837.0,id_803,1,200.59,0.0,42.12,242.71,2016-04-08 13:01:00
32339.0,55.31,0.0,Copia de seguridad,0,0,2021-06-01,44.0,844.0,id_751,1,90.29,0.0,18.96,109.25,2016-04-08 13:01:00
32339.0,34.98,0.0,RMM,0,0,2021-06-01,44.0,844.0,id_751,1,90.29,0.0,18.96,109.25,2016-04-08 13:01:00
32351.0,159.12,0.0,Copia de seguridad,0,0,2021-06-09,44.0,855.0,id_1043,12,159.12,0.0,33.42,192.54,2017-12-13 10:39:00
32353.0,204.6,0.0,nesicCLOUD,0,0,2021-06-09,44.0,857.0,id_1043,12,204.6,0.0,42.97,247.57,2017-12-13 10:39:00
32212.0,516.58,0.0,Venta accesorios,0,0,2021-05-18,44.0,717.0,id_1110,15,6168.75,0.0,1295.44,7464.19,2021-01-11 10:03:00
32214.0,119.0,0.0,Horas sueltas,0,0,2021-05-24,44.0,719.0,id_913,1,153.2,0.0,32.17,185.37,2016-04-08 13:01:00
32214.0,34.2,0.0,Venta accesorios,0,0,2021-05-24,44.0,719.0,id_913,1,153.2,0.0,32.17,185.37,2016-04-08 13:01:00
32215.0,20.67,0.0,Venta accesorios,0,0,2021-05-24,44.0,720.0,id_751,1,20.67,0.0,4.34,25.01,2016-04-08 13:01:00
32218.0,1691.64,0.0,HW/SW Seguridad,0,0,2021-06-01,44.0,723.0,id_803,1,1981.99,0.0,416.22,2398.21,2016-04-08 13:01:00
32218.0,79.92,0.0,Venta de equipos,0,0,2021-06-01,44.0,723.0,id_803,1,1981.99,0.0,416.22,2398.21,2016-04-08 13:01:00
32218.0,210.43,0.0,Venta accesorios,0,0,2021-06-01,44.0,723.0,id_803,1,1981.99,0.0,416.22,2398.21,2016-04-08 13:01:00
32365.0,26.4,0.0,Licencia SW,0,0,2021-06-10,44.0,869.0,id_267,1,26.4,0.0,5.54,31.94,2016-04-08 13:00:00
32363.0,31.74,0.0,Venta accesorios,0,0,2021-06-10,44.0,867.0,id_916,1,31.74,0.0,6.67,38.41,2016-04-08 13:01:00
32354.0,29.83,0.0,Venta accesorios,0,0,2021-06-09,44.0,858.0,id_1055,1,29.83,0.0,6.26,36.09,2018-04-11 19:09:00
32352.0,196.55,0.0,SMI,0,0,2021-06-09,44.0,856.0,id_1043,12,196.55,0.0,41.28,237.83,2017-12-13 10:39:00
